Id,Designator,Footprint,Quantity,Designation,Supplier and ref,
64,R42,R_1206_3216Metric,1,0.033,667-ERJ-8BWFR033V,https://www.mouser.co.za/ProductDetail/Panasonic/ERJ-8BWFR033V?qs=KH2o3k57USizqVJBom8vuQ%3D%3D
65,"R44,R12,R38",R_0805_2012Metric,3,100K,603-RT0805DRE07100KL,https://www.mouser.co.za/ProductDetail/YAGEO/RT0805DRE07100KL?qs=4CyHz7GXqShqMq5vnkRB7g%3D%3D
66,SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOT,774-222BMVBAR,https://www.mouser.co.za/ProductDetail/CTS-Electronic-Components/222BMVBAR?qs=%252BiOMRfgENTHtioQvkKc8YQ%3D%3D
67,SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RESET,774-222BMVBAR,https://www.mouser.co.za/ProductDetail/CTS-Electronic-Components/222BMVBAR?qs=%252BiOMRfgENTHtioQvkKc8YQ%3D%3D
68,T1,TCM1382WX,1,TCM1-382WX+,139-TCM1-382WX,https://www.mouser.co.za/ProductDetail/Mini-Circuits/TCM1-382WX%2b?qs=amGC7iS6iy9TpOSpP5xMJQ%3D%3D
69,U1,SOT-23_DIO,1,BAV99-7-F,621-BAV99-F,https://www.mouser.co.za/ProductDetail/Diodes-Incorporated/BAV99-7-F?qs=E9Ihi8A05%252BSTVRjo74hQDA%3D%3D
70,U2,SOT230P700X180-4N,1,AZ1117H-5.0TRE1,AZ1117H-5.0TRE1,https://www.mouser.co.za/ProductDetail/Diodes-Incorporated/AZ1117H-5.0TRE1?qs=FKu9oBikfSlW5RUAHfdJtw%3D%3D
71,U3,QFN50P400X400X90-25N,1,R820T (R860),,
72,U4,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3FN8,356-ESP32-S3FN8 ,https://www.mouser.co.za/ProductDetail/Espressif-Systems/ESP32-S3FN8?qs=Rp5uXu7WBW%2F4Oihh5tkiVQ%3D%3D
73,U5,QFN40P600X600X100-49N,1,RTL2832U,,
74,U6,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-WMN,511-M24C02-RMN6TP,https://www.mouser.co.za/ProductDetail/STMicroelectronics/M24C02-RMN6TP?qs=Jodr3Ka7a6ktinv3aZzndw%3D%3D
75,U7,MODULE_RA-02_LORA,1,RA-02_LORA,,
76,Y1,ATX11F32000MHZF05T,1,28.8MHz,,
77,Y2,ABM810000MHZ12D2W,1,40MHz,815-M840000MHZ10B1UT,https://www.mouser.co.za/ProductDetail/ABRACON/ABM8-40.000MHZ-10-B1U-T?qs=vLWxofP3U2wkoldm7I3eOw%3D%3D
